step,event_type,amount,origin_account,origin_balance_before,origin_balance_after,dest_account,dest_balance_before,dest_balance_after,is_fraud_label
279,account_funding,118550.78,C766804064,26474847.15,26593397.93,C1271411450,1446077.24,1327526.47,False
187,loan_disbursement,176506.82,C1997538000,0.0,0.0,C949331038,543012.26,719519.07,False
374,installment_repayment,13195.41,C1250423407,0.0,0.0,M2115013296,0.0,0.0,False
251,loan_disbursement,236782.09,C698524424,0.0,0.0,C770082623,1275559.0,1512341.09,False
401,loan_disbursement,181397.34,C534732899,0.0,0.0,C1909848342,1967312.56,2148709.89,False
329,installment_repayment,1612.22,C1264425120,27503.0,25890.78,M16972255,0.0,0.0,False
45,installment_repayment,4552.63,C1574740893,0.0,0.0,M1376588837,0.0,0.0,False
299,account_funding,79628.37,C89281665,1545753.73,1625382.09,C352574777,87935.91,8307.54,False
228,loan_disbursement,304935.2,C1209804285,41898.0,0.0,C2110301116,0.0,304935.2,False
11,installment_repayment,12667.75,C646973494,657.0,0.0,M1831346430,0.0,0.0,False
157,installment_repayment,3485.9,C1709383017,0.0,0.0,M937079800,0.0,0.0,False
162,installment_repayment,3865.19,C1421040536,0.0,0.0,M1827661010,0.0,0.0,False
139,loan_disbursement,123410.65,C292928907,0.0,0.0,C2111065363,326488.0,449898.65,False
231,account_funding,28223.05,C1035549889,62713.0,90936.05,C1471623445,202988.47,174765.42,False
369,account_funding,45321.14,C713335610,10249291.43,10294612.57,C257218004,53262.05,7940.91,False
356,loan_disbursement,302131.19,C2111515536,0.0,0.0,C1837315130,329065.67,631196.86,False
690,loan_disbursement,22980.63,C1657344593,0.0,0.0,C1503829591,108860.89,131841.52,False
140,loan_disbursement,15443.94,C1616442110,0.0,0.0,C1377477150,1273883.25,1289327.2,False
179,installment_repayment,13253.42,C526835306,185256.73,172003.32,M500384765,0.0,0.0,False
212,account_funding,54058.54,C607749938,10626.0,64684.54,C749320682,4107350.85,4053292.32,False
302,account_funding,119728.13,C1482352424,7307785.86,7427513.99,C1678763914,160141.0,28839.32,False
306,loan_disbursement,267263.42,C1798892075,10222.46,0.0,C1077949186,1386021.44,1653284.86,False
345,installment_repayment,12822.97,C1138655331,21758.0,8935.03,M1374408195,0.0,0.0,False
353,account_funding,136912.87,C1465955308,3844683.62,3981596.49,C1823401207,342832.11,205919.23,False
188,loan_disbursement,397192.96,C56031152,0.0,0.0,C1829458719,1149770.1,1546963.06,False
398,installment_repayment,8521.51,C1677754674,250.0,0.0,M2011972120,0.0,0.0,False
358,loan_disbursement,27951.22,C1003073284,0.0,0.0,C302898478,222985.77,250936.99,False
181,installment_repayment,6847.23,C1133891552,0.0,0.0,M661607397,0.0,0.0,False
354,account_funding,20755.49,C124280588,30395.0,51150.49,C1709161002,247466.54,226711.05,False
300,loan_disbursement,250435.59,C1068970988,22214.0,0.0,C1138348787,61381.31,311816.9,False
402,loan_disbursement,158045.84,C1155588604,0.0,0.0,C6792585,1138054.42,1296100.25,False
371,loan_disbursement,19331.76,C521518182,0.0,0.0,C734745671,3271104.02,3290435.78,False
373,account_funding,122219.99,C1044062928,1335882.39,1458102.38,C377265515,557476.85,435256.87,False
251,account_funding,180318.35,C815016106,8785464.91,8965783.26,C979592563,201899.76,21581.41,False
37,installment_repayment,6003.5,C1422271577,0.0,0.0,M977754863,0.0,0.0,False
133,fee_charge,359.36,C340456575,91771.76,91412.4,C921684067,141726.65,142086.01,False
215,installment_repayment,7365.32,C1594882192,141446.0,134080.68,M419587699,0.0,0.0,False
157,loan_disbursement,11481.93,C1955494163,81661.0,70179.07,C506675884,0.0,11481.93,False
190,loan_disbursement,330037.33,C1506321051,0.0,0.0,C1017862859,380277.19,710314.51,False
178,account_funding,141233.54,C25421558,1292622.17,1433855.71,C1430718454,339690.72,198457.18,False
160,loan_disbursement,1066382.83,C743784329,14340.0,0.0,C2029504181,0.0,1066382.83,False
216,installment_repayment,13679.05,C41004386,0.0,0.0,M2054683443,0.0,0.0,False
228,loan_disbursement,110337.77,C1279295926,0.0,0.0,C1748059668,551631.81,661969.58,False
326,account_funding,69845.9,C690755712,4829017.21,4898863.11,C246166594,459565.64,389719.74,False
286,installment_repayment,36298.17,C312138082,316817.54,280519.37,M1973009428,0.0,0.0,False
419,installment_repayment,5216.04,C655064344,0.0,0.0,M1633764184,0.0,0.0,False
163,installment_repayment,26163.5,C397084503,21337.0,0.0,M888504366,0.0,0.0,False
354,loan_disbursement,92551.78,C1028522891,123637.0,31085.22,C733511034,0.0,92551.78,False
191,loan_disbursement,158843.03,C1216675935,21363.0,0.0,C1806288490,1255868.05,1414711.08,False
10,installment_repayment,5110.49,C1268434597,0.0,0.0,M1137613992,0.0,0.0,False
301,account_funding,8597.08,C1032969672,1801.0,10398.08,C381543278,0.0,0.0,False
140,loan_disbursement,12788.84,C1987334039,18102.48,5313.64,C1440807174,207381.5,220170.34,False
39,installment_repayment,19931.41,C1242638114,0.0,0.0,M1911533524,0.0,0.0,False
11,account_funding,53544.6,C1838827586,6786003.97,6839548.57,C1365666520,1275191.25,1221646.65,False
378,installment_repayment,14228.83,C1602959096,0.0,0.0,M1655258956,0.0,0.0,False
156,installment_repayment,31151.37,C413193564,19839.0,0.0,M66644851,0.0,0.0,False
14,installment_repayment,22843.38,C254555719,0.0,0.0,M350927373,0.0,0.0,False
9,installment_repayment,22068.21,C312106031,11349.0,0.0,M699263307,0.0,0.0,False
1,installment_repayment,525.89,C174245837,8496.61,7970.72,M124132186,0.0,0.0,False
372,account_funding,220818.22,C244860854,9152204.1,9373022.33,C573898209,304282.85,83464.63,False
300,installment_repayment,20700.27,C305024963,0.0,0.0,M1467415122,0.0,0.0,False
376,loan_disbursement,61262.11,C1457714438,0.0,0.0,C981357835,147695.83,208957.94,False
33,loan_disbursement,272119.21,C228111235,5023.0,0.0,C1498627887,630629.95,902749.16,False
397,account_funding,89585.91,C1059337026,3325019.73,3414605.65,C327139390,14555781.54,14466195.63,False
285,installment_repayment,2451.89,C268425384,16717.0,14265.11,M221099814,0.0,0.0,False
234,loan_disbursement,366516.48,C301108122,11011.0,0.0,C2092184686,1055368.11,1421884.59,False
232,loan_disbursement,138475.5,C500713708,49091.0,0.0,C1841625420,0.0,138475.5,False
236,loan_disbursement,70964.62,C1602220672,0.0,0.0,C413396027,971723.89,1042688.51,False
162,loan_disbursement,101133.55,C198649826,483.0,0.0,C698818202,0.0,192788.26,False
157,installment_repayment,4619.67,C656904647,23780.0,19160.33,M691883788,0.0,0.0,False
34,loan_disbursement,227900.74,C1290202971,0.0,0.0,C1133607239,1849904.6,2077805.34,False
281,loan_disbursement,253245.42,C560469648,0.0,0.0,C828070494,1356662.16,1609907.58,False
280,account_funding,83012.59,C1256561004,71105.0,154117.59,C439737079,192624577.51,192541564.92,False
345,installment_repayment,11122.93,C355761111,1009.69,0.0,M679737236,0.0,0.0,False
36,installment_repayment,1882.98,C536415544,0.0,0.0,M621244627,0.0,0.0,False
239,installment_repayment,404.88,C811007950,152315.0,151910.12,M217489571,0.0,0.0,False
306,loan_disbursement,46559.53,C1386857186,0.0,0.0,C520710200,1716097.82,1762657.35,False
376,loan_disbursement,322528.71,C1048426767,0.0,0.0,C1955179096,1867668.78,2190197.49,False
321,loan_disbursement,64245.3,C746734562,9900.0,0.0,C159055457,0.0,64245.3,False
205,account_funding,273484.67,C994613680,7582531.62,7856016.29,C1651384621,1600326.75,1326842.08,False
164,installment_repayment,2877.46,C1056891325,0.0,0.0,M1137069901,0.0,0.0,False
644,account_funding,251145.28,C1228171346,4494029.16,4745174.43,C2023005750,415824.14,164678.87,False
44,loan_disbursement,176082.42,C1204461536,0.0,0.0,C629199060,1537840.11,1713922.53,False
156,account_funding,28417.9,C1730612442,30023.0,58440.9,C671210708,910660.25,882242.36,False
178,loan_disbursement,2724658.82,C2045087093,51710.0,0.0,C215796754,10370.0,2141085.75,False
402,account_funding,47663.75,C1071664024,228014.0,275677.75,C551547754,0.0,0.0,False
160,loan_disbursement,739374.3,C2101979364,68412.0,0.0,C681171289,0.0,994449.22,False
229,loan_disbursement,48901.3,C1131949430,0.0,0.0,C2008914316,149965.76,198867.06,False
15,loan_disbursement,324172.65,C1079138869,20033.0,0.0,C363475076,0.0,324172.65,False
398,installment_repayment,15974.46,C1673243466,188776.1,172801.63,M1231324358,0.0,0.0,False
690,account_funding,218372.23,C1842939909,74668.0,293040.23,C2066306267,779768.91,561396.69,False
328,account_funding,124213.78,C887412998,541.0,124754.78,C914949820,0.0,0.0,False
301,loan_disbursement,71923.8,C1194295089,90898.0,18974.2,C784114219,175944.46,247868.26,False
637,loan_disbursement,33110.06,C2039656224,24820.0,0.0,C1528864065,984052.51,1017162.57,False
277,installment_repayment,9064.98,C551166633,1077.0,0.0,M1965050101,0.0,0.0,False
403,installment_repayment,27233.7,C422983767,200988.0,173754.3,M241687536,0.0,0.0,False
402,installment_repayment,42899.63,C2077106159,63374.0,20474.37,M488768619,0.0,0.0,False
207,loan_disbursement,514045.92,C1939253082,21001.0,0.0,C1776805244,233275.67,747321.58,False
332,installment_repayment,20904.96,C175438866,12745.0,0.0,M999679068,0.0,0.0,False
205,loan_disbursement,46672.82,C278150051,34855.0,0.0,C709741328,1198683.87,1245356.69,False
285,account_funding,228447.73,C91695090,1107473.01,1335920.74,C1387939448,6142743.13,5914295.4,False
357,loan_disbursement,1945447.65,C1262914605,0.0,0.0,C1289326376,2040574.71,3986022.36,False
178,account_funding,200889.2,C348119935,4377233.16,4578122.36,C331091702,1039524.4,838635.2,False
138,loan_disbursement,33303.79,C731080422,0.0,0.0,C1378049300,256427.16,31541.65,False
402,account_funding,244661.65,C588631789,26222.83,270884.48,C1842799742,162859.93,0.0,False
305,loan_disbursement,11221254.75,C1584420337,0.0,0.0,C218039695,11317134.34,22666708.43,False
231,loan_disbursement,203766.35,C1427303481,0.0,0.0,C721612585,491772.28,695538.62,False
13,loan_disbursement,173444.51,C888948670,0.0,0.0,C978822470,656338.48,1220403.32,False
9,installment_repayment,24904.49,C874572213,466955.19,442050.7,M621516732,0.0,0.0,False
358,installment_repayment,3682.98,C733421262,21436.0,17753.02,M1197122011,0.0,0.0,False
237,loan_disbursement,460252.62,C1848098630,0.0,0.0,C1918576195,2973547.18,3433799.8,False
18,loan_disbursement,148937.24,C691511499,0.0,0.0,C207883608,176230.96,387162.7,False
215,account_funding,79862.52,C1133651664,7959052.23,8038914.75,C2120849051,230314.75,150452.24,False
300,account_funding,194719.65,C1959938907,1198009.41,1392729.06,C102068782,405210.66,210491.01,False
226,loan_disbursement,17627.07,C601814313,0.0,0.0,C915515895,225753.95,243381.02,False
282,installment_repayment,15759.33,C1737688017,0.0,0.0,M1835351356,0.0,0.0,False
10,loan_disbursement,318716.37,C1983184778,0.0,0.0,C1692066743,3294789.56,3613505.94,False
305,installment_repayment,7357.26,C700001698,0.0,0.0,M332565172,0.0,0.0,False
356,loan_disbursement,452523.79,C1556580492,0.0,0.0,C1873136972,2222893.22,2675417.01,False
22,installment_repayment,6479.43,C1377836754,0.0,0.0,M886478411,0.0,0.0,False
33,installment_repayment,5236.57,C598108316,72784.0,67547.43,M1695314941,0.0,0.0,False
179,account_funding,122991.97,C1544201422,4622002.58,4744994.55,C545375005,1653455.25,1530463.28,False
661,loan_disbursement,386838.1,C386635198,0.0,0.0,C623503358,4301043.7,4687881.8,False
301,installment_repayment,19924.72,C1583798048,5214.0,0.0,M598382678,0.0,0.0,False
211,loan_disbursement,207670.98,C429035326,23191.0,0.0,C1297742318,2620835.9,2828506.88,False
304,installment_repayment,11486.1,C1194381575,45072.0,33585.9,M2062098834,0.0,0.0,False
17,installment_repayment,25927.19,C1770011969,0.0,0.0,M340470822,0.0,0.0,False
397,loan_disbursement,131017.72,C386604505,0.0,0.0,C911629685,637291.1,768308.82,False
325,account_funding,219845.21,C834318216,174.0,220019.21,C335216965,840123.67,620278.46,False
167,installment_repayment,4480.36,C89367181,14528.0,10047.64,M206404420,0.0,0.0,False
310,installment_repayment,13634.91,C870617548,15253.82,1618.91,M799301387,0.0,0.0,False
304,installment_repayment,298.21,C1419289073,0.0,0.0,M1166607987,0.0,0.0,False
279,loan_disbursement,132015.69,C257260786,109265.0,0.0,C565426589,602780.12,734795.81,False
15,loan_disbursement,495823.32,C112494516,50107.0,0.0,C974485162,820965.21,1316788.53,False
186,loan_disbursement,207494.24,C1568313398,0.0,0.0,C66043149,1295230.87,1502725.1,False
216,installment_repayment,942.98,C1848064966,15883.1,14940.12,M1561257794,0.0,0.0,False
225,installment_repayment,6145.11,C1050886310,116557.39,110412.28,M68401628,0.0,0.0,False
39,loan_disbursement,144922.9,C1617838036,0.0,0.0,C1821197361,191871.51,336794.42,False
189,installment_repayment,17995.69,C1728626220,60809.7,42814.01,M1719082791,0.0,0.0,False
140,installment_repayment,2239.85,C316195289,0.0,0.0,M383468120,0.0,0.0,False
308,installment_repayment,11330.97,C2098232379,0.0,0.0,M1964491932,0.0,0.0,False
165,installment_repayment,8414.61,C1268652748,0.0,0.0,M674328375,0.0,0.0,False
38,loan_disbursement,433921.02,C2134719609,0.0,0.0,C637846044,1591455.36,2025376.38,False
279,installment_repayment,5424.23,C957614928,691.0,0.0,M594656783,0.0,0.0,False
394,loan_disbursement,155031.54,C290241812,22706.0,0.0,C1278967117,0.0,155031.54,False
276,loan_disbursement,97100.49,C981608104,404.0,0.0,C1048702448,155429.84,252530.33,False
542,loan_disbursement,214393.36,C67828693,246904.0,32510.64,C1822667147,0.0,214393.36,False
264,installment_repayment,6035.98,C504371559,9225.0,3189.02,M1425998779,0.0,0.0,False
18,account_funding,172488.08,C918304935,50532.0,223020.08,C255505498,0.0,0.0,False
350,loan_disbursement,326374.35,C1442273246,0.0,0.0,C2112620794,395877.16,722251.51,False
44,installment_repayment,2778.2,C503921049,19070.0,16291.8,M1709992928,0.0,0.0,False
281,installment_repayment,7618.21,C24328510,16915.0,9296.79,M425591867,0.0,0.0,False
283,installment_repayment,4811.5,C2069936881,33186.09,28374.6,M674696770,0.0,0.0,False
514,installment_repayment,14767.69,C1142798572,208373.09,193605.4,M1740942173,0.0,0.0,False
136,installment_repayment,25707.93,C812187101,0.0,0.0,M1960418484,0.0,0.0,False
393,loan_disbursement,205411.44,C1763431643,0.0,0.0,C14076062,2765846.71,2971258.15,False
15,loan_disbursement,124282.09,C1209440013,67562.98,0.0,C1833807230,33501.74,157783.83,False
186,account_funding,125945.84,C1779299590,50826.0,176771.84,C681320243,200304.02,74358.18,False
610,loan_disbursement,136664.27,C1328759894,151152.0,14487.73,C955264452,16054.4,152718.68,False
204,account_funding,275243.04,C1533911927,11289.0,286532.04,C1786659509,604080.21,328837.16,False
34,installment_repayment,9581.23,C652642742,207.0,0.0,M415081754,0.0,0.0,False
329,installment_repayment,64889.85,C519007223,49830.0,0.0,M548772504,0.0,0.0,False
253,installment_repayment,7500.81,C1493915337,0.0,0.0,M1688594126,0.0,0.0,False
276,loan_disbursement,100446.3,C759154464,0.0,0.0,C189755589,1428263.05,1528709.34,False
255,account_funding,132167.6,C2044720748,11911.0,144078.6,C1738341425,0.0,0.0,False
202,loan_disbursement,353939.96,C1890515942,167293.5,0.0,C1815264020,1465377.25,1819317.21,False
20,installment_repayment,3209.64,C33384274,399678.0,396468.36,M1190140080,0.0,0.0,False
211,loan_disbursement,72338.18,C1902931955,91326.0,18987.82,C757962168,1364218.2,1436556.38,False
20,loan_disbursement,15896.73,C1635735181,222027.46,206130.73,C896811565,2966394.87,3129298.95,False
214,loan_disbursement,76315.02,C1069153196,0.0,0.0,C1328577807,2332079.36,2408394.38,False
330,installment_repayment,18283.65,C1566354410,123453.0,105169.35,M1194280796,0.0,0.0,False
185,loan_disbursement,35244.97,C1879833004,19837.0,0.0,C1407149305,0.0,35244.97,False
138,installment_repayment,22877.27,C293173957,60770.0,37892.73,M712222861,0.0,0.0,False
692,installment_repayment,18209.33,C563358345,511252.0,493042.67,M646534407,0.0,0.0,False
256,account_funding,101368.34,C1809292397,29153040.91,29254409.25,C1356056156,169083.97,67715.63,False
381,installment_repayment,353.24,C1537089565,507010.0,506656.76,M272369324,0.0,0.0,False
156,account_funding,271112.31,C886068190,600679.67,871791.98,C787455910,1143119.42,872007.11,False
256,installment_repayment,5273.43,C1549565346,109660.97,104387.54,M981420149,0.0,0.0,False
231,loan_disbursement,124264.2,C654498130,167491.0,43226.8,C1361370826,1109206.32,1233470.52,False
134,loan_disbursement,10238.91,C1364233935,0.0,0.0,C64497195,1994286.12,2004525.03,False
259,loan_disbursement,115455.28,C903983475,0.0,0.0,C594640691,720267.1,835722.39,False
356,account_funding,192741.52,C970474679,7812502.6,8005244.12,C996573195,856821.17,664079.65,False
297,installment_repayment,1516.75,C1644578961,187621.0,186104.25,M1087117541,0.0,0.0,False
17,account_funding,129639.28,C1261868427,2912669.58,3042308.86,C243274781,922231.52,792592.24,False
323,installment_repayment,23415.12,C2013372743,0.0,0.0,M820130731,0.0,0.0,False
225,account_funding,132694.72,C683339691,105479.0,238173.72,C2037907473,343745.33,211050.62,False
399,loan_disbursement,594910.38,C727662582,0.0,0.0,C238579833,1655798.41,2250708.78,False
134,loan_disbursement,279550.83,C818781934,99158.0,0.0,C224853536,1909516.51,2189067.33,False
309,account_funding,32713.14,C1574930411,1223297.31,1256010.45,C998895470,2606784.58,2574071.44,False
184,installment_repayment,2137.44,C1771675305,0.0,0.0,M280849296,0.0,0.0,False
235,loan_disbursement,113185.57,C1751997083,0.0,0.0,C688949030,400545.96,513731.53,False
186,installment_repayment,994.11,C1506348572,0.0,0.0,M1363789391,0.0,0.0,False
550,loan_disbursement,391078.64,C1607150881,0.0,0.0,C1796693836,1412515.49,1803594.13,False
406,installment_repayment,12343.95,C116268008,159148.0,146804.05,M1084049071,0.0,0.0,False
258,installment_repayment,33278.97,C1525382632,31223.0,0.0,M890339421,0.0,0.0,False
253,loan_disbursement,207580.04,C959952048,12628.0,0.0,C1996676554,149387.46,356967.5,False
369,account_funding,256204.95,C521703153,99590.0,355794.95,C41418495,245363.93,0.0,False
305,installment_repayment,4433.66,C80393093,0.0,0.0,M924597668,0.0,0.0,False
138,installment_repayment,190.58,C1617848622,0.0,0.0,M722864209,0.0,0.0,False
379,loan_disbursement,49117.69,C532717,708006.5,658888.82,C1431384692,6447865.3,6496982.99,False
43,loan_disbursement,100595.92,C578948235,0.0,0.0,C1774303816,2220825.65,2321421.57,False
133,loan_disbursement,2694.12,C1942969995,1729.0,0.0,C1045772817,0.0,2694.12,False
379,installment_repayment,5950.69,C1059678984,0.0,0.0,M1913165999,0.0,0.0,False
162,loan_disbursement,77816.79,C921874606,2061.0,0.0,C1295292994,0.0,77816.79,False
40,account_funding,148840.35,C631998750,1304505.33,1453345.68,C663770919,3863200.38,3863287.83,False
140,loan_disbursement,222344.52,C1947474767,249184.93,26840.41,C365386511,339620.18,561964.7,False
33,installment_repayment,8096.06,C2048811541,842.0,0.0,M881278548,0.0,0.0,False
308,installment_repayment,17542.87,C532397083,353448.27,335905.4,M712117855,0.0,0.0,False
275,loan_disbursement,43554.8,C429640521,387449.7,343894.9,C8055487,57268.14,100822.94,False
279,loan_disbursement,61145.32,C1621567414,99622.17,38476.85,C198641075,1407224.89,1468370.21,False
257,account_funding,71728.31,C1866916821,403126.53,474854.84,C595698121,3660383.31,3462159.1,False
404,installment_repayment,17208.25,C1554610205,413.0,0.0,M1601667405,0.0,0.0,False
155,loan_disbursement,21403.6,C1967969462,0.0,0.0,C1790153472,235794.99,257198.59,False
471,installment_repayment,30678.6,C928538035,21983.0,0.0,M1484396377,0.0,0.0,False
18,account_funding,260236.27,C1370627717,1012466.26,1272702.53,C933337248,445291.56,185055.29,False
307,loan_disbursement,24580.58,C2120452437,14511.11,0.0,C1917467215,108990.36,133570.94,False
375,loan_disbursement,13637318.14,C996883473,224162.99,0.0,C298492445,19450582.81,33087900.95,False
330,account_funding,254668.88,C614941751,838.0,255506.88,C103973306,87340.31,0.0,False
208,loan_disbursement,147794.46,C226353251,0.0,0.0,C1530703011,10285738.58,10433533.04,False
36,loan_disbursement,392024.32,C1835688490,11993.0,0.0,C531261846,0.0,392024.32,False
403,account_funding,284425.09,C793826353,922615.02,1207040.11,C628204269,993334.28,708909.19,False
379,loan_disbursement,47969.36,C1569079905,4800.0,0.0,C893198366,0.0,47969.36,False
544,loan_disbursement,659495.73,C142692117,0.0,0.0,C1861764002,1466023.26,2125518.99,False
133,installment_repayment,30716.22,C880603258,0.0,0.0,M438432623,0.0,0.0,False
258,installment_repayment,11503.1,C1647224728,158886.22,147383.12,M773261329,0.0,0.0,False
347,loan_disbursement,371624.09,C122274495,60150.0,0.0,C1185830080,458821.32,830445.41,False
253,account_funding,17958.85,C257538959,18364.0,36322.85,C270574759,4503699.18,4485740.33,False
228,installment_repayment,3872.48,C979564979,0.0,0.0,M585889186,0.0,0.0,False
157,loan_disbursement,538371.51,C384043703,0.0,0.0,C407294437,1000517.98,1538889.49,False
259,account_funding,210323.58,C2101340147,337793.14,548116.72,C1920389662,1880093.28,1669769.7,False
393,loan_disbursement,480314.75,C1916515003,0.0,0.0,C1876830263,718530.84,1198845.59,False
212,account_funding,115866.19,C2002886999,31822.0,147688.19,C1773489879,0.0,0.0,False
44,loan_disbursement,349580.13,C1822788958,0.0,0.0,C2067711632,888515.13,722484.27,False
189,account_funding,132861.78,C1201673622,8445336.67,8578198.44,C1945265288,317276.48,184414.7,False
298,loan_disbursement,6511.8,C378274045,41604.0,35092.2,C145391403,579153.35,585665.14,False
187,loan_disbursement,11274.8,C1460885640,0.0,0.0,C1380259683,7878915.32,7890190.12,False
324,account_funding,92163.66,C1843434252,15840554.94,15932718.6,C1095396606,8787736.13,8695572.47,False
134,loan_disbursement,441816.12,C1052709413,0.0,0.0,C2073796282,692213.67,1134029.79,False
231,installment_repayment,2240.94,C1442974987,0.0,0.0,M2022236640,0.0,0.0,False
9,account_funding,211692.67,C1876160459,886.0,212578.67,C1102550356,11297.0,0.0,False
138,account_funding,112460.58,C1112791438,52356.0,164816.58,C1539497407,0.0,0.0,False
571,loan_disbursement,85706.98,C683648677,13093.0,0.0,C1865834620,0.0,85706.98,False
10,loan_disbursement,16204.62,C2138410171,0.0,0.0,C1954751748,975792.35,1135870.7,False
15,installment_repayment,26135.81,C288115459,79915.0,53779.19,M305042215,0.0,0.0,False
324,account_funding,132672.69,C62984008,3552.0,136224.69,C829072589,25348.31,0.0,False
252,installment_repayment,907.76,C1460125333,63068.0,62160.24,M1867358095,0.0,0.0,False
283,loan_disbursement,296618.22,C719260917,0.0,0.0,C1208994552,320784.1,617402.32,False
404,account_funding,138261.72,C577064550,5258773.23,5397034.95,C1892882952,449694.99,311433.27,False
351,loan_disbursement,74063.45,C491021693,3900.42,0.0,C1425842663,3572317.56,3646381.01,False
133,account_funding,25908.61,C467004696,13897306.95,13923215.56,C1380486287,470502.51,63999.94,False
119,fee_charge,6166.07,C154165172,52847.0,46680.93,C1916238844,143145.26,149311.33,False
37,account_funding,242594.18,C711575682,249971.0,492565.18,C1239689931,190582.4,0.0,False
226,loan_disbursement,121393.83,C50035771,1963.0,0.0,C496342622,212757.54,334151.37,False
322,account_funding,302308.71,C1445271111,4318408.07,4620716.78,C821127206,3605714.12,3303405.4,False
96,loan_disbursement,140094.33,C175000576,0.0,0.0,C1787913184,1300098.44,1440192.77,False
209,account_funding,257981.39,C871122774,742907.29,1000888.68,C1555319369,11970215.24,11712233.85,False
416,installment_repayment,408.63,C1028729031,128927.0,128518.37,M1528076396,0.0,0.0,False
122,loan_disbursement,2221683.68,C150631994,2221683.68,0.0,C1160422569,0.0,0.0,True
280,account_funding,73204.81,C1109847886,50200.0,123404.81,C1867491223,1742779.39,1669574.58,False
15,installment_repayment,25843.31,C916507692,0.0,0.0,M1431274842,0.0,0.0,False
129,loan_disbursement,48011.26,C1109572612,215051.0,167039.74,C2061870058,0.0,48011.26,False
11,installment_repayment,27324.7,C1803687332,13868.0,0.0,M2110564132,0.0,0.0,False
17,installment_repayment,16959.58,C464710523,17068.0,108.42,M1528319689,0.0,0.0,False
322,loan_disbursement,239626.63,C2122425253,206263.0,0.0,C1515940686,836860.06,1076486.69,False
281,account_funding,255803.23,C2006953836,1211637.34,1467440.58,C977837137,1101976.7,846173.46,False
382,loan_disbursement,591520.72,C1263661164,0.0,0.0,C1587837852,6337231.05,6928751.77,False
257,loan_disbursement,45254.8,C1328710233,425169.35,379914.55,C2048393362,208057.91,253312.71,False
36,account_funding,125314.74,C289142808,19326924.56,19452239.3,C795092878,160633.03,35318.29,False
681,loan_disbursement,149452.18,C529419592,0.0,0.0,C230742235,301461.43,450913.61,False
180,loan_disbursement,353123.62,C425864399,544.0,0.0,C602783233,0.0,353123.62,False
11,loan_disbursement,1696805.87,C1796511356,91682.0,0.0,C1660526430,123442.58,2255565.8,False
157,installment_repayment,5971.76,C1789813798,182.0,0.0,M456186350,0.0,0.0,False
36,installment_repayment,59951.0,C1790883882,456186.63,396235.63,M1954011838,0.0,0.0,False
325,account_funding,220151.43,C61830545,2874256.13,3094407.56,C681105053,1082926.74,862775.31,False
